arm,canonical_name,alias_group_members,numel,l2_ref,l2_final,delta_ref_final,rho,is_latent_q
ssra,layers.8.ln2.bias,,640,0.7218806508634277,3.6063503446381318,2.97184532480689,4.11680978185566,False
ssra,layers.8.ln_node.weight,,640,24.78403869588876,13.162092901922815,11.938427408302879,0.4816982233925924,False
ssra,layers.8.ln_node.bias,,640,0.3882441799358898,2.6799410114033657,2.5097308475494278,6.464310290405013,False
ssra,layers.8.attn.w_q.weight,layers.8.attn.w_q.weight;layers.8.pool.attn.w_q.weight;layers.8.readout_attn.w_q.weight,409600,16.560344620211218,46.9869528790489,45.314215412634994,2.736308721337288,False
ssra,layers.8.attn.w_k.weight,layers.8.attn.w_k.weight;layers.8.pool.attn.w_k.weight;layers.8.readout_attn.w_k.weight,409600,16.402941606281377,46.52069916962538,44.7027240950936,2.7252870349776193,False
ssra,layers.8.attn.w_v.weight,layers.8.attn.w_v.weight;layers.8.pool.attn.w_v.weight;layers.8.readout_attn.w_v.weight,409600,15.796285288375493,45.63315086219211,42.38848201577305,2.6834462180147374,False
ssra,layers.8.attn.w_o.weight,layers.8.attn.w_o.weight;layers.8.pool.attn.w_o.weight;layers.8.readout_attn.w_o.weight,409600,16.056572605904908,45.461369291427616,42.38923026559403,2.6399924383616664,False
ssra,layers.8.pool.latent_q,,10240,2.377836647573908,7.095614244101069,6.682511265939677,2.8103323551505532,True
ssra,layers.8.pool.ln_pool.weight,,640,24.869823761139987,17.213618928629675,7.913067419227246,0.3181794730524671,False
ssra,layers.8.pool.ln_pool.bias,,640,0.31818599075880466,2.2675057730819135,2.2460797134803476,7.0590151003315205,False
ssra,layers.8.ffn.fc1.weight,,1638400,34.04606424688475,103.79342714945882,94.84487991994237,2.785781029847548,False
ssra,layers.8.ffn.fc1.bias,,2560,1.3220453816003488,2.2528193147207776,1.4737933518105473,1.1147827240442427,False
ssra,layers.8.ffn.fc2.weight,,1638400,20.27861072341669,109.31585057162519,105.90562529761908,5.2225286407477975,False
ssra,layers.8.ffn.fc2.bias,,640,0.3361246703288202,1.1144253501724473,1.0120199560837593,3.010847002374839,False
ssra,layers.9.level_emb,,10240,1.6126892531581616,10.91751481396392,10.359916663065837,6.42400055855634,False
ssra,layers.9.ln1.weight,,640,25.353390160637378,17.723796153778252,7.7762733068485055,0.3067153251529109,False
