[extract] alias groups (>1 key per tensor): 60; canonical = first sorted member
[extract] phi/e_l full-tensor keys (60): layers.0.level_emb, layers.0.pool.latent_q, layers.0.pool.ln_pool.bias, layers.0.pool.ln_pool.weight, layers.1.level_emb, layers.1.pool.latent_q, layers.1.pool.ln_pool.bias, layers.1.pool.ln_pool.weight, layers.10.level_emb, layers.10.pool.latent_q, layers.10.pool.ln_pool.bias, layers.10.pool.ln_pool.weight, layers.11.level_emb, layers.11.pool.latent_q, layers.11.pool.ln_pool.bias, layers.11.pool.ln_pool.weight, layers.12.level_emb, layers.12.pool.latent_q, layers.12.pool.ln_pool.bias, layers.12.pool.ln_pool.weight, layers.13.level_emb, layers.13.pool.latent_q, layers.13.pool.ln_pool.bias, layers.13.pool.ln_pool.weight, layers.14.level_emb, layers.14.pool.latent_q, layers.14.pool.ln_pool.bias, layers.14.pool.ln_pool.weight, layers.2.level_emb, layers.2.pool.latent_q, layers.2.pool.ln_pool.bias, layers.2.pool.ln_pool.weight, layers.3.level_emb, layers.3.pool.latent_q, layers.3.pool.ln_pool.bias, layers.3.pool.ln_pool.weight, layers.4.level_emb, layers.4.pool.latent_q, layers.4.pool.ln_pool.bias, layers.4.pool.ln_pool.weight, layers.5.level_emb, layers.5.pool.latent_q, layers.5.pool.ln_pool.bias, layers.5.pool.ln_pool.weight, layers.6.level_emb, layers.6.pool.latent_q, layers.6.pool.ln_pool.bias, layers.6.pool.ln_pool.weight, layers.7.level_emb, layers.7.pool.latent_q, layers.7.pool.ln_pool.bias, layers.7.pool.ln_pool.weight, layers.8.level_emb, layers.8.pool.latent_q, layers.8.pool.ln_pool.bias, layers.8.pool.ln_pool.weight, layers.9.level_emb, layers.9.pool.latent_q, layers.9.pool.ln_pool.bias, layers.9.pool.ln_pool.weight
[extract] flat 15/52 step=15000 dl=3.3s load=0.6s compute=1.3s elapsed=83s
[extract] flat 16/52 step=16000 dl=3.5s load=0.6s compute=1.2s elapsed=88s
[extract] flat 17/52 step=17000 dl=3.5s load=0.5s compute=1.2s elapsed=93s
[extract] flat 18/52 step=18000 dl=3.5s load=0.5s compute=1.6s elapsed=99s
[extract] flat 19/52 step=19000 dl=3.5s load=0.6s compute=1.5s elapsed=104s
[extract] flat 20/52 step=20000 dl=3.6s load=0.6s compute=1.6s elapsed=110s
[extract] flat 21/52 step=21000 dl=3.5s load=0.6s compute=1.3s elapsed=116s
[extract] flat 22/52 step=22000 dl=3.6s load=0.6s compute=1.6s elapsed=121s
[extract] flat 23/52 step=23000 dl=3.5s load=0.5s compute=1.3s elapsed=127s
[extract] flat 24/52 step=24000 dl=3.3s load=0.6s compute=1.3s elapsed=132s
[extract] flat 25/52 step=25000 dl=3.3s load=0.5s compute=1.2s elapsed=137s
[extract] flat 26/52 step=26000 dl=3.5s load=0.6s compute=1.2s elapsed=142s
[extract] flat 27/52 step=27000 dl=3.3s load=0.6s compute=1.5s elapsed=148s
[extract] flat 28/52 step=28000 dl=3.5s load=0.6s compute=1.4s elapsed=153s
[extract] flat 29/52 step=29000 dl=3.6s load=0.6s compute=1.2s elapsed=158s
[extract] flat 30/52 step=30000 dl=3.5s load=0.5s compute=1.3s elapsed=164s
[extract] flat 31/52 step=31000 dl=3.5s load=0.6s compute=1.3s elapsed=169s
[extract] flat 32/52 step=32000 dl=3.8s load=0.5s compute=1.4s elapsed=175s
[extract] flat 33/52 step=33000 dl=3.3s load=0.6s compute=1.7s elapsed=180s
[extract] flat 34/52 step=34000 dl=3.3s load=0.6s compute=1.4s elapsed=186s
[extract] flat 35/52 step=35000 dl=3.3s load=0.5s compute=1.4s elapsed=191s
[extract] flat 36/52 step=36000 dl=3.5s load=0.6s compute=1.5s elapsed=197s
[extract] flat 37/52 step=37000 dl=3.6s load=0.7s compute=2.2s elapsed=203s
[extract] flat 38/52 step=38000 dl=3.6s load=0.6s compute=1.3s elapsed=209s
[extract] flat 39/52 step=39000 dl=3.6s load=0.6s compute=1.3s elapsed=214s
[extract] flat 40/52 step=40000 dl=3.8s load=0.5s compute=1.3s elapsed=220s
[extract] flat 41/52 step=41000 dl=3.6s load=0.5s compute=1.4s elapsed=225s
[extract] flat 42/52 step=42000 dl=3.3s load=0.5s compute=1.4s elapsed=230s
[extract] flat 43/52 step=43000 dl=3.7s load=0.5s compute=1.3s elapsed=236s
[extract] flat 44/52 step=44000 dl=3.6s load=0.6s compute=1.6s elapsed=242s
[extract] flat 45/52 step=45000 dl=3.5s load=0.5s compute=1.3s elapsed=247s
[extract] flat 46/52 step=46000 dl=3.5s load=0.6s compute=1.3s elapsed=252s
[extract] flat 47/52 step=47000 dl=3.6s load=0.5s compute=1.2s elapsed=258s
[extract] flat 48/52 step=48000 dl=3.3s load=0.5s compute=1.3s elapsed=263s
[extract] flat 49/52 step=49000 dl=3.3s load=0.6s compute=1.3s elapsed=268s
[extract] flat 50/52 step=50000 dl=3.5s load=0.5s compute=1.3s elapsed=273s
[extract] flat 51/52 step=51000 dl=3.5s load=0.5s compute=1.3s elapsed=279s
[extract] flat 52/52 step=51880 dl=3.5s load=0.6s compute=1.2s elapsed=284s
[extract] done: 52/52 ckpts, 183 named params -> /home/ds/extracts/v11-k1-extract-flat.npz (0.3 MiB, wall 284s)
